1,Superman,Piken_Square,,,14,2,7,2,12,3,7,2,14,2,7,2,12,4,1,8,12,3,,,,,86
2,Batgirl,Ruins_of_Surmia,,,14,2,1,8,6,8,2,7,14,2,6,3,6,10,8,1,14,1,,,6,3,77
3,Barbara_Gordon,Ruins_of_Surmia,,,13,3,3,6,12,3,6,3,11,4,7,2,6,10,2,7,10,5,,,4,5,74
4,Legion,Yak's_Bend,,,6,10,5,4,10,5,1,8,12,3,5,4,11,5,7,2,7,7,,,7,2,71
5,Donald_Duck,Kodash,,,9,7,6,3,8,6,5,4,14,2,3,6,3,13,4,5,12,3,,,4,5,68
5,Elmer_Fudd,Sea_of_Sorrows,,,10,6,7,2,5,9,5,4,6,9,8,1,8,8,2,7,11,4,,,6,3,68
6,Daffy_Duck,Ruins_of_Surmia,,,6,10,6,3,10,5,6,3,10,5,,,9,7,8,1,11,4,,,1,8,67
6,Khan,Yak's_Bend,,,5,11,2,7,1,11,7,2,15,1,2,7,9,7,8,1,10,5,,,8,1,67
7,Tim_Drake,Underworld,,,9,7,1,8,14,1,6,3,4,10,8,1,7,9,3,6,6,8,,,8,1,66
8,Homer,Yak's_Bend,,,6,10,4,5,14,1,4,5,10,5,3,6,11,5,5,4,8,6,,,,,65
9,Riker,Yak's_Bend,,,4,12,,,12,3,5,4,7,8,5,4,14,2,6,3,7,7,,,4,5,64
9,Tigger,Riverside,,,9,7,1,8,6,8,1,8,12,3,2,7,13,3,7,2,12,3,,,1,8,64
10,Blue_Beetle,Ruins_of_Surmia,,,13,3,6,3,8,6,3,6,8,7,2,7,7,9,6,3,5,9,,,5,4,63
11,biot.4721,Gandara,,,8,8,3,6,,,,,12,3,4,5,17,1,,,14,1,,,4,5,62
12,Fred_Flintstone,Maguuma,,,2,13,6,3,14,1,5,4,8,7,1,8,4,12,8,1,7,7,,,4,5,59
13,Wonder_Woman,Underworld,,,15,1,,,4,10,7,2,8,7,3,6,8,8,1,8,11,4,,,1,8,58
14,Eric_Cartman,Sanctum_of_Rall,,,4,12,1,8,8,6,7,2,7,8,1,8,12,4,7,2,4,10,,,5,4,56
14,Stitch!,Ring_of_Fire,,,8,8,,,7,7,8,1,4,10,7,2,9,7,3,6,5,9,,,5,4,56
14,We_Are_Bob,Yak's_Bend,,,12,4,3,6,13,2,3,6,4,10,2,7,6,10,3,6,10,5,,,,,56
15,Kvothe,Yak's_Bend,,,10,6,1,8,5,9,1,8,7,8,,,9,7,5,4,10,5,,,6,3,54
16,Vic_Sage,Underworld,,,6,10,7,2,6,8,3,6,6,9,2,7,6,10,,,11,4,,,6,3,53
17,Wally_West,Underworld,,,2,13,7,2,5,9,4,5,3,11,,,10,6,5,4,10,5,,,6,3,52
18,Tasmanian_Devil,Gunnar's_Hold,,,11,5,1,8,6,8,8,1,9,6,8,1,,,,,,,,,,,43
19,Bob_the_Dog,Yak's_Bend,,,4,12,,,10,5,7,2,2,12,6,3,4,12,1,8,6,8,,,,,40
20,Nite_Owl,Jade_Sea,,,8,8,8,1,8,6,6,3,9,6,,,,,,,,,,,,,39
21,Nite_Hawk,Kaineng,,,5,11,1,8,11,4,7,2,9,6,2,7,,,,,,,,,,,35
22,Maggie_Simpson,Sorrow's_Furnace,,,,,,,,,,,,,,,2,14,8,1,13,2,,,6,3,29
22,Sylvester,Henge_of_Denravi,,,2,13,4,5,4,10,3,6,8,7,8,1,,,,,,,,,,,29
23,Pink_Panther,Miller's_Sound,,,7,9,3,6,5,9,4,5,8,7,,,,,,,,,,,,,27
24,The_Hulk,Seafarer's_Rest,,,,,,,,,,,,,,,7,9,3,6,6,8,,,8,1,24
25,Marge_Simpson,Stormbluff_Isle,,,,,,,,,,,,,,,1,15,5,4,13,2,,,3,6,22
26,Batman,Tarnished_Coast,,,,,,,,,,,,,,,8,8,2,7,2,11,,,7,2,19
27,Beyond_Justice,Underworld,,,,,,,,,,,,,,,5,11,,,8,6,,,2,7,15
28,Homer_Simpson,Northern_Shiverpeaks,,,2,13,,,,,7,2,,,5,4,,,,,,,,,,,14
