1,Riker,Yak's_Bend,26,6,36,3,32,2,20,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114
2,Batgirl,Ruins_of_Surmia,24,8,42,2,25,5,21,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112
3,Vic_Sage,Underworld,29,3,23,9,24,6,22,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98
4,Donald_Duck,Kodash,28,4,24,8,20,8,23,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
5,Eric_Cartman,Sanctum_of_Rall,29,3,20,11,29,3,8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86
6,Fred_Flintstone,Maguuma,22,10,31,4,24,6,8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85
6,Kvothe,Yak's_Bend,22,10,23,9,25,5,15,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85
7,Elmer_Fudd,Sea_of_Sorrows,29,3,23,9,16,11,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84
8,Barbara_Gordon,Ruins_of_Surmia,23,9,23,9,21,7,13,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80
9,Daffy_Duck,Ruins_of_Surmia,16,13,26,7,21,7,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79
9,Wally_West,Underworld,23,9,11,19,34,1,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79
10,Bob_the_Dog,Yak's_Bend,15,14,12,18,32,2,19,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78
11,Blue_Beetle,Ruins_of_Surmia,19,12,28,5,17,10,13,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77
12,The_Joker,Blackgate,14,15,28,5,25,5,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76
12,We_Are_Bob,Yak's_Bend,27,5,17,14,26,4,6,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76
13,biot.4721,Gandara,10,16,47,1,17,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74
14,Superman,Piken_Square,32,1,22,10,11,14,8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73
15,Legion,Yak's_Bend,32,1,13,17,21,7,6,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72
16,Wonder_Woman,Underworld,23,9,19,12,19,9,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70
17,Tigger,Riverside,22,10,18,13,14,12,15,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69
18,Homer,Yak's_Bend,25,7,13,17,21,7,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68
19,Khan,Yak's_Bend,16,13,17,14,20,8,13,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66
20,Stitch!,Ring_of_Fire,26,6,15,16,13,13,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64
21,Tim_Drake,Underworld,22,10,27,6,8,16,6,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63
22,Beyond_Justice,Underworld,,,,,34,1,20,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54
23,Batman,Tarnished_Coast,,,,,26,4,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
24,Tasmanian_Devil,Gunnar's_Hold,30,2,18,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48
25,Pink_Panther,Miller's_Sound,20,11,23,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
25,Sylvester,Henge_of_Denravi,27,5,16,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
26,Nite_Hawk,Kaineng,24,8,13,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37
27,Marge_Simpson,Stormbluff_Isle,,,,,14,12,17,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31
28,The_Hulk,Seafarer's_Rest,,,,,16,11,8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
29,Maggie_Simpson,Sorrow's_Furnace,,,,,10,15,13,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
