1,Sylvester,Henge_of_Denravi,4,2,,,12,1,,,2,7,4,3,5,3,3,6,5,3,6,4,9,3,6,4,56
2,Dewey_Duck,Fort_Aspenwood,2,4,7,1,9,3,2,7,4,5,5,2,5,3,7,3,7,2,,,,,,,48
2,Fred_Flintstone,Maguuma,,,4,4,9,3,,,3,6,2,5,4,4,2,7,5,3,11,1,4,8,4,6,48
3,Homer,Yak's_Bend,2,4,4,4,3,8,1,8,7,3,2,5,6,2,6,4,4,4,4,6,5,7,3,7,47
4,Khan,Yak's_Bend,,,4,4,7,4,6,3,6,4,1,6,3,5,3,6,2,5,9,2,5,7,,,46
5,Kvothe,Yak's_Bend,,,6,2,3,8,4,5,3,6,2,5,4,4,5,5,7,2,3,7,3,9,5,5,45
6,Donald_Duck,Kodash,,,,,6,5,8,1,4,5,6,1,2,6,7,3,,,6,4,4,8,1,9,44
6,Nite_Hawk,Kaineng,,,3,5,7,4,1,8,8,2,4,3,,,8,2,1,6,5,5,,,7,3,44
7,Bob_the_Dog,Yak's_Bend,,,1,7,4,7,2,7,3,6,5,2,5,3,,,11,1,2,8,5,7,5,5,43
8,We_Are_Bob,Yak's_Bend,,,4,4,7,4,3,6,8,2,4,3,,,,,,,6,4,2,10,4,6,38
9,Riker,Yak's_Bend,,,5,3,6,5,7,2,2,7,3,4,1,7,,,,,2,8,6,6,3,7,35
10,Legion,Yak's_Bend,,,,,5,6,,,11,1,,,2,6,3,6,,,3,7,6,6,4,6,34
10,Louie_Duck,Fort_Ranik,,,3,5,3,8,6,3,2,7,4,3,,,11,1,5,3,,,,,,,34
11,Super_Jo,Blackgate,3,3,4,4,10,2,7,2,8,2,,,,,,,,,,,,,,,32
12,Huey_Duck,Fissure_of_Woe,,,2,6,2,9,3,6,2,7,6,1,8,1,6,4,2,5,,,,,,,31
13,Woody_Woodpecker,Isle_of_Janthir,,,5,3,2,9,2,7,4,5,6,1,3,5,5,5,2,5,,,,,,,29
14,Wonder_Woman,Underworld,,,,,,,,,,,,,,,,,,,4,6,11,2,6,4,21
15,The_Joker,Blackgate,,,,,,,,,,,,,,,,,,,2,8,6,6,11,1,19
16,Wally_West,Underworld,,,,,,,,,,,,,,,,,,,7,3,8,4,3,7,18
17,Barbara_Gordon,Ruins_of_Surmia,,,,,,,,,,,,,,,,,,,2,8,12,1,2,8,16
18,Pink_Panther,Miller's_Sound,,,,,,,,,,,,,,,,,,,2,8,4,8,9,2,15
19,Starman,Blackgate,7,1,1,7,1,10,5,4,,,,,,,,,,,,,,,,,14
19,Stitch!,Ring_of_Fire,,,,,,,,,,,,,,,,,,,4,6,5,7,5,5,14
20,Batgirl,Ruins_of_Surmia,,,,,,,,,,,,,,,,,,,7,3,6,6,,,13
21,Blue_Beetle,Ruins_of_Surmia,,,,,,,,,,,,,,,,,,,4,6,6,6,1,9,11
22,Daffy_Duck,Ruins_of_Surmia,,,,,,,,,,,,,,,,,,,3,7,7,5,,,10
22,Eric_Cartman,Sanctum_of_Rall,,,,,,,,,,,,,,,,,,,,,7,5,3,7,10
22,Vic_Sage,Underworld,,,,,,,,,,,,,,,,,,,4,6,2,10,4,6,10
23,Elmer_Fudd,Sea_of_Sorrows,,,,,,,,,,,,,,,,,,,3,7,2,10,3,7,8
24,Tigger,Riverside,,,,,,,,,,,,,,,,,,,1,9,1,11,5,5,7
24,Tim_Drake,Underworld,,,,,,,,,,,,,,,,,,,1,9,5,7,1,9,7
25,biot.4721,Gandara,,,,,,,,,,,,,,,,,,,,,,,5,5,5
26,Homer_Simpson,Northern_Shiverpeaks,,,,,,,,,,,,,,,,,,,,,4,8,,,4
27,Spider_Man,Eredon_Terrace,3,3,,,,,,,,,,,,,,,,,,,,,,,3
28,Superman,Piken_Square,,,,,,,,,,,,,,,,,,,,,1,11,1,9,2
